car_name,km_driven,manufactured_year,fuel_type,transmission,price
Maruti IGNIS,47.41k km,2017,Petrol,Auto,₹ 3.85 lakh
Maruti Ertiga,37.22k km,2021,Petrol,Manual,₹ 8.33 lakh
Maruti Swift,65.14k km,2012,Petrol,Manual,₹ 2.43 lakh
Maruti Celerio,77.68k km,2015,Petrol,Auto,₹ 2.91 lakh
Maruti Wagon R 1.0,26.89k km,2016,Petrol,Manual,₹ 3.25 lakh
Maruti New Wagon-R,50.18k km,2020,Petrol,Manual,₹ 4.50 lakh
Maruti Ertiga,1.4L km,2019,Diesel,Manual,₹ 9.44 lakh
Maruti Eeco,30.00k km,2022,Petrol,Manual,₹ 5.05 lakh
Maruti New Wagon-R,36.53k km,2019,Petrol,Manual,₹ 4.25 lakh
Maruti Wagon R 1.0,61.00k km,2018,Petrol,Manual,₹ 3.74 lakh
Maruti Ciaz,64.65k km,2015,Petrol,Auto,₹ 4.56 lakh
Maruti S PRESSO,25.06k km,2020,Petrol,Auto,₹ 4.15 lakh
Maruti Celerio,15.38k km,2022,Petrol,Manual,₹ 5.46 lakh
Maruti IGNIS,52.43k km,2017,Petrol,Auto,₹ 3.87 lakh
Maruti Baleno,1.0L km,2018,Petrol,Manual,₹ 5.07 lakh
Maruti Ciaz,71.94k km,2016,Petrol,Manual,₹ 4.39 lakh
Maruti Ciaz,80.29k km,2015,Petrol,Manual,₹ 3.82 lakh
Maruti Baleno,57.58k km,2017,Petrol,Manual,₹ 4.50 lakh
Maruti Swift Dzire,37.64k km,2015,Petrol,Manual,₹ 3.75 lakh
Maruti Wagon R 1.0,35.68k km,2017,Petrol,Manual,₹ 3.15 lakh
Maruti Celerio,68.07k km,2014,Petrol,Auto,₹ 2.92 lakh
Maruti Ciaz,1.9L km,2016,Petrol,Manual,₹ 4.00 lakh
Maruti Ertiga,1.4L km,2016,Petrol,Manual,₹ 4.66 lakh
Maruti IGNIS,27.00k km,2019,Petrol,Manual,₹ 4.18 lakh
Maruti Wagon R 1.0,48.10k km,2018,Petrol,Auto,₹ 4.00 lakh
Maruti S PRESSO,92.26k km,2020,Petrol,Manual,₹ 3.00 lakh
Maruti Ciaz,77.39k km,2017,Petrol,Auto,₹ 4.90 lakh
Maruti Ertiga,1.2L km,2015,Petrol,Manual,₹ 3.98 lakh
Maruti Wagon R 1.0,1.2L km,2017,Petrol,Manual,₹ 3.19 lakh
Maruti Baleno,62.63k km,2017,Petrol,Auto,₹ 4.26 lakh
Maruti Celerio,65.20k km,2022,Petrol,Manual,₹ 5.00 lakh
Maruti IGNIS,1.1L km,2017,Petrol,Auto,₹ 3.42 lakh
Maruti Ertiga,66.31k km,2015,Diesel,Manual,₹ 6.42 lakh
Maruti Celerio,1.1L km,2018,Petrol,Manual,₹ 3.65 lakh
Maruti Ertiga,68.69k km,2021,Petrol,Manual,₹ 10.50 lakh
Maruti Ciaz,48.79k km,2017,Petrol,Auto,₹ 5.14 lakh
Maruti Wagon R 1.0,57.41k km,2016,Petrol,Manual,₹ 3.06 lakh
Maruti New Wagon-R,26.12k km,2021,Petrol,Manual,₹ 5.26 lakh
Maruti XL6,8.72k km,2022,Petrol,Auto,₹ 11.41 lakh
Maruti New Wagon-R,40.96k km,2022,Petrol,Manual,₹ 5.43 lakh
Maruti S PRESSO,3.54k km,2021,Petrol,Manual,₹ 3.81 lakh
Maruti Ertiga,68.16k km,2012,Petrol,Manual,₹ 3.59 lakh
Maruti Celerio,1.2L km,2018,Petrol,Manual,₹ 3.60 lakh
Maruti IGNIS,78.39k km,2018,Petrol,Manual,₹ 3.67 lakh
Maruti Baleno,29.74k km,2022,Petrol,Manual,₹ 6.38 lakh
Maruti Ciaz,9.40k km,2022,Petrol,Auto,₹ 10.10 lakh
Maruti S PRESSO,35.52k km,2022,Petrol,Manual,₹ 3.78 lakh
Maruti Baleno,8.54k km,2020,Petrol,Manual,₹ 5.68 lakh
Maruti Baleno,49.75k km,2016,Petrol,Manual,₹ 4.50 lakh
Maruti Ertiga,32.27k km,2015,Petrol,Manual,₹ 5.11 lakh
Maruti Baleno,24.76k km,2020,Petrol,Manual,₹ 5.35 lakh
Maruti New Wagon-R,1.4L km,2019,Petrol,Manual,₹ 4.13 lakh
Maruti Baleno,1.1L km,2016,Diesel,Manual,₹ 4.55 lakh
Maruti Alto,480 km,2022,Petrol,Manual,₹ 3.82 lakh
Maruti New Wagon-R,10.20k km,2021,Petrol,Manual,₹ 5.13 lakh
Maruti Grand Vitara,21.54k km,2024,Petrol,Manual,₹ 12.30 lakh
Maruti Ertiga,76.00k km,2014,Petrol,Manual,₹ 5.52 lakh
Maruti Dzire,25.15k km,2018,Petrol,Manual,₹ 5.14 lakh
Maruti Baleno,27.59k km,2019,Petrol,Manual,₹ 5.30 lakh
Maruti Baleno,1.3L km,2019,Petrol,Manual,₹ 4.50 lakh
Maruti Celerio,93.50k km,2017,Petrol,Manual,₹ 3.99 lakh
Maruti New Wagon-R,21.97k km,2019,Petrol,Manual,₹ 4.42 lakh
Maruti Baleno,26.97k km,2020,Petrol,Manual,₹ 6.25 lakh
Maruti New Wagon-R,64.75k km,2022,Petrol,Manual,₹ 5.50 lakh
Maruti Swift,1.11k km,2016,Petrol,Manual,₹ 3.74 lakh
Maruti New Wagon-R,96.21k km,2021,Petrol,Manual,₹ 4.82 lakh
Maruti Swift Dzire,1.0L km,2015,Petrol,Manual,₹ 4.00 lakh
Maruti Eeco,1.0L km,2014,Petrol,Manual,₹ 2.85 lakh
Maruti Ertiga,57.65k km,2020,Petrol,Manual,₹ 9.57 lakh
Maruti Ertiga,41.67k km,2016,Petrol,Manual,₹ 6.30 lakh
Maruti Dzire,60.04k km,2017,Petrol,Manual,₹ 5.14 lakh
Maruti Eeco,42.79k km,2022,Petrol,Manual,₹ 6.38 lakh
Maruti Alto K10,15.46k km,2024,Petrol,Manual,₹ 4.80 lakh
Maruti IGNIS,57.59k km,2017,Petrol,Auto,₹ 4.37 lakh
Maruti Wagon R 1.0,84.08k km,2018,Petrol,Manual,₹ 3.10 lakh
Maruti Ciaz,1.2L km,2017,Diesel,Manual,₹ 5.42 lakh
Maruti Ciaz,1.1L km,2016,Diesel,Manual,₹ 4.75 lakh
Maruti Baleno,51.57k km,2016,Petrol,Manual,₹ 4.39 lakh
Maruti S PRESSO,63.00k km,2019,Petrol,Auto,₹ 3.28 lakh
Maruti Dzire,56.19k km,2022,Petrol,Manual,₹ 7.07 lakh
Maruti Dzire,28.32k km,2018,Petrol,Auto,₹ 5.14 lakh
Maruti Ertiga,32.77k km,2020,Petrol,Manual,₹ 8.48 lakh
Maruti IGNIS,32.69k km,2017,Petrol,Auto,₹ 4.63 lakh
Maruti New Wagon-R,17.89k km,2023,Petrol,Manual,₹ 6.18 lakh
Maruti Ertiga,21.17k km,2014,Petrol,Manual,₹ 4.52 lakh
Maruti New Wagon-R,7.28k km,2021,Petrol,Manual,₹ 5.10 lakh
Maruti Grand Vitara,11.49k km,2023,Petrol,Auto,₹ 13.86 lakh
Maruti Ciaz,88.62k km,2017,Petrol,Auto,₹ 4.70 lakh
Maruti New Wagon-R,39.02k km,2020,Petrol,Manual,₹ 4.57 lakh
Maruti Baleno,59.95k km,2018,Petrol,Manual,₹ 4.73 lakh
Maruti Baleno,57.70k km,2016,Petrol,Manual,₹ 3.77 lakh
Maruti New Wagon-R,92.97k km,2021,Petrol,Manual,₹ 5.00 lakh
Maruti Ertiga,51.97k km,2020,Petrol,Manual,₹ 8.87 lakh
Maruti Ertiga,1.4L km,2015,Diesel,Manual,₹ 5.89 lakh
Maruti Dzire,59.49k km,2018,Diesel,Manual,₹ 6.27 lakh
Maruti Baleno,48.82k km,2016,Petrol,Auto,₹ 4.16 lakh
Maruti Baleno,97.80k km,2016,Petrol,Manual,₹ 3.97 lakh
Maruti Ertiga,1.4L km,2015,Petrol,Manual,₹ 4.30 lakh
Maruti Dzire,57.80k km,2018,Petrol,Auto,₹ 5.08 lakh
Maruti New Wagon-R,1.4L km,2021,Petrol,Manual,₹ 4.44 lakh
Maruti Eeco,1.1L km,2022,Petrol,Manual,₹ 5.53 lakh
Maruti Ertiga,1.4L km,2015,Petrol,Manual,₹ 4.14 lakh
Maruti Ciaz,55.30k km,2018,Petrol,Auto,₹ 5.83 lakh
Maruti Ertiga,1.1L km,2020,Petrol,Manual,₹ 9.00 lakh
Maruti Baleno,6.58k km,2023,Petrol,Auto,₹ 7.07 lakh
Maruti Ertiga,29.76k km,2015,Petrol,Manual,₹ 5.14 lakh
Maruti Swift,51.31k km,2022,Petrol,Manual,₹ 6.33 lakh
Maruti Baleno,21.78k km,2023,Petrol,Auto,₹ 8.17 lakh
Maruti Dzire,66.56k km,2022,Petrol,Manual,₹ 6.69 lakh
Maruti JIMNY,6.25k km,2023,Petrol,Auto,₹ 12.00 lakh
Maruti Swift,4.65k km,2022,Petrol,Auto,₹ 7.20 lakh
Maruti Baleno,34.79k km,2016,Petrol,Manual,₹ 4.79 lakh
Maruti Grand Vitara,7.52k km,2023,Petrol,Auto,₹ 12.86 lakh
Maruti FRONX,10.03k km,2024,Petrol,Manual,₹ 9.76 lakh
Maruti Grand Vitara,6.50k km,2023,Petrol,Manual,₹ 11.61 lakh
Maruti Celerio,47.56k km,2022,Petrol,Manual,₹ 4.88 lakh
Maruti Swift,2.45k km,2024,Petrol,Auto,₹ 9.22 lakh
Maruti New Wagon-R,12.91k km,2024,Petrol,Manual,₹ 6.86 lakh
Maruti Vitara Brezza,1.2L km,2019,Diesel,Auto,₹ 7.49 lakh
Maruti New Wagon-R,44.38k km,2023,Petrol,Manual,₹ 6.00 lakh
Maruti Ertiga,84.14k km,2018,Petrol,Manual,₹ 7.47 lakh
Maruti Baleno,61.10k km,2020,Petrol,Auto,₹ 6.59 lakh
Maruti Vitara Brezza,38.87k km,2018,Diesel,Auto,₹ 7.69 lakh
Maruti New Wagon-R,31.38k km,2022,Petrol,Manual,₹ 5.86 lakh
Maruti IGNIS,17.39k km,2021,Petrol,Manual,₹ 5.74 lakh
Maruti Ciaz,79.71k km,2019,Petrol,Auto,₹ 5.72 lakh
Maruti Ciaz,42.55k km,2021,Petrol,Auto,₹ 7.69 lakh
Maruti S Cross,73.46k km,2015,Diesel,Manual,₹ 4.61 lakh
Maruti Baleno,10.72k km,2021,Petrol,Manual,₹ 6.26 lakh
Maruti Swift Dzire,1.5L km,2012,Diesel,Manual,₹ 3.14 lakh
Maruti Vitara Brezza,96.33k km,2018,Diesel,Manual,₹ 6.55 lakh
Maruti Ertiga,1.1L km,2018,Petrol,Manual,₹ 6.73 lakh
Maruti Grand Vitara,19.61k km,2024,Petrol,Manual,₹ 11.65 lakh
Maruti Ciaz,1.0L km,2014,Diesel,Manual,₹ 3.70 lakh
Maruti FRONX,20.07k km,2023,Petrol,Auto,₹ 8.11 lakh
Maruti New Wagon-R,58.26k km,2021,Petrol,Manual,₹ 4.63 lakh
Maruti S Cross,56.83k km,2018,Diesel,Manual,₹ 6.72 lakh
Maruti Swift Dzire,1.9L km,2012,Diesel,Manual,₹ 3.22 lakh
Maruti Celerio,26.84k km,2017,Petrol,Manual,₹ 3.50 lakh
Maruti JIMNY,25.55k km,2023,Petrol,Auto,₹ 12.18 lakh
Maruti XL6,89.23k km,2019,Petrol,Auto,₹ 8.69 lakh
Maruti BREZZA,4.97k km,2023,Petrol,Auto,₹ 13.23 lakh
Maruti Ertiga,8.70k km,2022,Petrol,Manual,₹ 10.55 lakh
Maruti S Cross,1.5L km,2015,Diesel,Manual,₹ 3.51 lakh
Maruti XL6,9.96k km,2024,Petrol,Auto,₹ 14.46 lakh
Maruti Ciaz,24.05k km,2022,Petrol,Manual,₹ 8.68 lakh
Maruti S Cross,1.1L km,2016,Diesel,Manual,₹ 5.24 lakh
Maruti Swift,6.0L km,2022,Petrol,Auto,₹ 7.05 lakh
Maruti Vitara Brezza,20.17k km,2019,Diesel,Manual,₹ 8.40 lakh
Maruti XL6,10.02k km,2023,Petrol,Auto,₹ 14.09 lakh
Maruti Celerio X,81.27k km,2018,Petrol,Manual,₹ 3.38 lakh
Maruti XL6,49.57k km,2019,Petrol,Auto,₹ 8.61 lakh
Maruti XL6,60.21k km,2023,Petrol,Manual,₹ 11.19 lakh
Maruti BREZZA,4.93k km,2025,Petrol,Manual,₹ 10.06 lakh
Maruti Ciaz,1.8L km,2015,Diesel,Manual,₹ 4.50 lakh
Maruti Ciaz,28.21k km,2019,Petrol,Auto,₹ 6.35 lakh
Maruti XL6,55.51k km,2019,Petrol,Auto,₹ 8.56 lakh
Maruti S Cross,85.31k km,2016,Diesel,Manual,₹ 5.14 lakh
Maruti Grand Vitara,62.60k km,2023,Petrol,Auto,₹ 11.93 lakh
Maruti JIMNY,27.89k km,2023,Petrol,Auto,₹ 12.05 lakh
Maruti JIMNY,24.86k km,2023,Petrol,Manual,₹ 11.00 lakh
Maruti Baleno,8.27k km,2024,Petrol,Manual,₹ 9.20 lakh
Maruti Alto 800,36.06k km,2012,Petrol,Manual,₹ 1.37 lakh
Maruti Swift Dzire,12.35k km,2010,Petrol,Manual,₹ 1.23 lakh
Maruti New Wagon-R,18.95k km,2022,Petrol,Auto,₹ 5.79 lakh
Maruti Wagon R 1.0,97.50k km,2015,Petrol,Manual,₹ 2.79 lakh
Maruti BREZZA,36.58k km,2024,Petrol,Manual,₹ 9.00 lakh
Maruti Alto K10,35.70k km,2010,Petrol,Manual,₹ 1.28 lakh
Maruti Ciaz,70.00k km,2017,Diesel,Manual,₹ 5.75 lakh
Maruti Alto,5.64k km,2010,Petrol,Manual,₹ 0.70 lakh
Maruti Swift Dzire,1.1L km,2013,Petrol,Manual,₹ 2.76 lakh
Maruti Wagon R 1.0,1.0L km,2013,Petrol,Manual,₹ 1.90 lakh
Maruti Swift,87.89k km,2020,Petrol,Auto,₹ 5.89 lakh
Maruti FRONX,17.90k km,2024,Petrol,Auto,₹ 7.85 lakh
Maruti Ertiga,50.05k km,2018,Diesel,Manual,₹ 7.55 lakh
Maruti Baleno,56.77k km,2019,Petrol,Manual,₹ 4.89 lakh
Maruti Ertiga,24.87k km,2019,Petrol,Manual,₹ 9.00 lakh
Maruti S PRESSO,10.93k km,2024,Petrol,Auto,₹ 5.00 lakh
Maruti Wagon R 1.0,14.82k km,2015,Petrol,Manual,₹ 2.94 lakh
Maruti Ertiga,66.10k km,2019,Petrol,Manual,₹ 8.71 lakh
Maruti Swift Dzire,46.39k km,2010,Diesel,Manual,₹ 1.78 lakh
Maruti Wagon R 1.0,1.0L km,2014,Petrol,Manual,₹ 2.54 lakh
Maruti Celerio,1.3L km,2017,Petrol,Manual,₹ 3.90 lakh
Maruti Swift,1.3L km,2014,Petrol,Manual,₹ 3.45 lakh
Maruti XL6,38.78k km,2021,Petrol,Auto,₹ 9.58 lakh
Maruti FRONX,7.46k km,2024,Petrol,Auto,₹ 9.00 lakh
Maruti Swift,28.90k km,2015,Petrol,Manual,₹ 3.50 lakh
Maruti Ertiga,1.0L km,2016,Petrol,Manual,₹ 6.24 lakh
Maruti SX4,67.42k km,2013,Petrol,Manual,₹ 1.71 lakh
Maruti Wagon R 1.0,1.1L km,2012,Petrol,Manual,₹ 1.75 lakh
Maruti Ertiga,64.00k km,2013,Petrol,Manual,₹ 3.81 lakh
Maruti Baleno,75.57k km,2016,Petrol,Manual,₹ 3.74 lakh
Maruti XL6,8.72k km,2024,Petrol,Manual,₹ 13.00 lakh
Maruti Baleno,58.28k km,2016,Petrol,Manual,₹ 3.58 lakh
Maruti Dzire,48.48k km,2018,Petrol,Manual,₹ 4.59 lakh
Maruti Ertiga,62.19k km,2020,Petrol,Manual,₹ 7.50 lakh
Maruti Wagon R 1.0,59.45k km,2015,Petrol,Manual,₹ 2.36 lakh
Maruti Ertiga,1.0L km,2016,Petrol,Manual,₹ 7.22 lakh
Maruti Ertiga,81.67k km,2016,Petrol,Manual,₹ 6.80 lakh
Maruti Eeco,46.02k km,2021,Petrol,Manual,₹ 6.64 lakh
Maruti Swift Dzire,51.96k km,2011,Petrol,Manual,₹ 1.94 lakh
Maruti XL6,90.94k km,2019,Petrol,Manual,₹ 7.34 lakh
Maruti Dzire,75.60k km,2020,Petrol,Manual,₹ 5.32 lakh
Maruti Alto,95.38k km,2011,Petrol,Manual,₹ 0.94 lakh
Maruti Alto,9.94k km,2020,Petrol,Manual,₹ 3.12 lakh
Maruti Ertiga,49.13k km,2024,CNG,Manual,₹ 10.25 lakh
Maruti Ertiga,31.78k km,2019,Petrol,Manual,₹ 7.25 lakh
Maruti Swift,37.30k km,2023,Petrol,Manual,₹ 4.95 lakh
Maruti Alto K10,31.46k km,2016,Petrol,Manual,₹ 1.83 lakh
Maruti Ritz,19.89k km,2014,Petrol,Manual,₹ 2.00 lakh
Maruti IGNIS,85.57k km,2017,Petrol,Manual,₹ 3.00 lakh
Maruti Dzire,16.40k km,2019,Petrol,Manual,₹ 4.78 lakh
Maruti Celerio,81.93k km,2018,CNG,Manual,₹ 3.36 lakh
Maruti Vitara Brezza,61.31k km,2018,Diesel,Manual,₹ 6.98 lakh
Maruti Wagon R 1.0,55.91k km,2014,Petrol,Manual,₹ 2.32 lakh
Maruti New Wagon-R,39.00k km,2019,Petrol,Manual,₹ 4.00 lakh
Maruti Ciaz,63.31k km,2017,CNG,Manual,₹ 4.02 lakh
Maruti Ciaz,36.37k km,2018,Petrol,Manual,₹ 4.80 lakh
Maruti Baleno,14.76k km,2017,Petrol,Auto,₹ 4.63 lakh
Maruti Wagon R 1.0,98.44k km,2016,CNG,Manual,₹ 2.75 lakh
Maruti Ertiga,1.3L km,2020,Petrol,Manual,₹ 7.30 lakh
Maruti Alto K10,30.27k km,2018,CNG,Manual,₹ 2.85 lakh
Maruti S PRESSO,63.36k km,2020,Petrol,Manual,₹ 2.95 lakh
Maruti Ertiga,67.83k km,2017,Petrol,Manual,₹ 5.35 lakh
Maruti Baleno,48.56k km,2018,Petrol,Auto,₹ 5.25 lakh
Maruti IGNIS,16.36k km,2021,Petrol,Auto,₹ 4.81 lakh
Maruti Alto K10,46.13k km,2015,Petrol,Auto,₹ 2.10 lakh
Maruti Ciaz,67.20k km,2020,Petrol,Manual,₹ 6.25 lakh
Maruti Swift,53.02k km,2022,Petrol,Auto,₹ 6.35 lakh
Maruti IGNIS,35.40k km,2018,Petrol,Manual,₹ 3.55 lakh
Maruti Vitara Brezza,41.02k km,2018,Diesel,Auto,₹ 7.21 lakh
Maruti Wagon R 1.0,68.03k km,2013,CNG,Manual,₹ 2.15 lakh
Maruti IGNIS,28.72k km,2021,Petrol,Manual,₹ 4.25 lakh
Maruti Ertiga,74.46k km,2016,CNG,Manual,₹ 6.20 lakh
Maruti Baleno,73.15k km,2016,Petrol,Manual,₹ 3.75 lakh
